jugador_entra,jugador_sale,Minuto,equipo,Jornada
"PATRICIO GUAL, MARC","COLL AREVALO, JORDI",70,CONSTANCIA A,7
"ROMAN DE REMENTERIA, ASIER","CHUKWUKERE PULLET, GREGORY IKECHUKWU",81,CONSTANCIA A,7
"OLIVER GELABERT, PERE","MAIRATA NOGUERA, ADRIA",81,CONSTANCIA A,7
"GRAHAM, NATHAN STUART","SOLER CALDENTEY, JOEL",62,MANACOR A,7
"ORTIZ CARROZA, ABRAHAM","MESTRE RIBOT, PAU",62,MANACOR A,7
"LAKHAL ZEROUALE, SAAD","ADROVER GARRIDO, GERARD",75,MANACOR A,7
"POSTIGO GARAT, RAUL","ADROVER GARRIDO, ALBERT",75,MANACOR A,7
"LAMSIAH AJGHOUF, OSSAMA","MONTES CARDONA, CHRISTIAN",88,MANACOR A,7
"SINTES MELERO, ALVARO","TEJEDOR MORENO, ALEJANDRO",45,UD MAHON,7
"BOLIVAR PERAL, ROGER","GRUBAC, NOA",57,UD MAHON,7
"DE OLIVEIRA MESSIAS, KLAYVER","MASCARO MARTINEZ, IKER",57,UD MAHON,7
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",62,UD MAHON,7
"GUTIERREZ SUAREZ, ANGEL","PEREZ MARTIN, IGNACIO",76,UD MAHON,7
"FEDELICH MARQUES, JAN","PASCUAL GORNES, ENRIC",68,PENYA CIUTADELLA ESPORTIVA A,7
"TALTAVULL VALVERDE, IAN","AGUILAR BOSCH, DAVID",68,PENYA CIUTADELLA ESPORTIVA A,7
"CAMPS SEOANE, VICTOR","CAPO MORA, MARC",75,PENYA CIUTADELLA ESPORTIVA A,7
"ARGUIMBAU ALLES, MACIA","TRIAY SASTRE, ADRIA",83,PENYA CIUTADELLA ESPORTIVA A,7
"TALTAVULL JUANEDA, JOAN","PONCIANO BUESO, JOSEP",83,PENYA CIUTADELLA ESPORTIVA A,7
"GIRALDE BAUZA, JAVIER","ALARCON CAVERO, JOEL",61,SAN FRANCISCO B,7
"SUÁREZ SERRA, ALEX","MASSANET CABRER, FRANCESC",61,SAN FRANCISCO B,7
"LLEDO SAMPOL, ADRIA","CARDONA ALCANTARA, MARC",61,SAN FRANCISCO B,7
"RIBAS MUÑOZ, SERGI","BADJINKA NDIAYE, BUBAKAR",73,SAN FRANCISCO B,7
"CONDE PEREIRA, ALEJANDRO MANUEL","SALAMANCA GALERA, AITOR",79,SAN FRANCISCO B,7
"FERRER RIGO, SEBASTIÀ","AGUILERA PERELLO, ADRIÀ",68,POBLENSE A,7
"TUR ESCALAS, TONI","MENDEZ DUARTE, IVAN",68,POBLENSE A,7
"CAIMARI FIGUEROLA, JAUME","MORAGUES MORAGUES, JOAN",79,POBLENSE A,7
"MEFTAH ES SALEMY, BILAL","GONZÁLEZ ONETO, ASSIER",90,POBLENSE A,7
"MORA GISPERT, HUGO","AIT SAID TAFZATI, NABIL",45,PLA DE NA TESA A,7
"ONCALA CARAVACA, DANIEL","ASAMOAH ASANTEWAA, DENIS",51,PLA DE NA TESA A,7
"ALONSO MUNICIO, PABLO","COULIBALY COULIBALY, MADANE",51,PLA DE NA TESA A,7
"HOMAR PELLICER, JOEL","MONTALBAN ROMERO, MILO JERONIMO",82,PLA DE NA TESA A,7
"MESA ZAFRA, CHRISTIAN","MASCARÓ SERVERA, JUAN",85,PLA DE NA TESA A,7
"RIBOT FUSTER, MARIO","AMER CASTILLO, MIGUEL",72,ANDRATX A,7
"CASTELLO FERRA, JOAN","ROGEL ARRIAGA, BRYAN STALIN",72,ANDRATX A,7
"OPREA, ALESSIO MIHAI","LUPIAÑEZ ALEMANY, TONI",72,ANDRATX A,7
"JIMENEZ PASTOR, IKER","SINTES DIAZ, JOAN",80,ANDRATX A,7
"ALARCON FERRER, ADRIAN","PATRICIO TORRRENS, JUAN",88,ANDRATX A,7
"PAYERO MOLINA, NICOLAS","PEREZ SILVENTE, ALEJANDRO",52,PLATGES DE CALVIA A,7
"PUJOL ALOMAR, TELM","SANCHIS MARTINEZ, DAVID",52,PLATGES DE CALVIA A,7
"HOLLINGSWORTH, HARRY RICHARD","ALCOLEA ESCORCIA, CARLOS",65,PLATGES DE CALVIA A,7
"MAGAN MITCHELL SMITH, MIGUEL","BLANES DÍAZ, FERNANDO",76,PLATGES DE CALVIA A,7
"CARDONA MARTIN, MARCOS","CASAUS SANCHEZ, JOSE IGNACIO",76,PLATGES DE CALVIA A,7
"RODRIGUEZ ROIG, ARIAN","CUBERO GUASCH, JOAN",46,U D IBIZA A,7
"GARCIA ALBA, JAVIER","ELIAS ARANDIA, SAMUEL ABEL",46,U D IBIZA A,7
"BONED GARCIA, ADRIÁ","BERNASCONI, SANTINO",79,U D IBIZA A,7
"MEDINA ARANDA, SERGIO","LOPEZ CAPACETE, KENAI",88,U D IBIZA A,7
"CRESPI BARRERA, LEONARDO","PONS SERRANO, ALEIX",46,PENYA ARRABAL A,8
"HERRERA IGLESIAS, ADRIAN","ARIAS BESTARD, ENZO",65,PENYA ARRABAL A,8
"ARALUCE SERRA, ADRIAN","LEBRERO BENITEZ, HUGO",73,PENYA ARRABAL A,8
"SEGUI ESTEBAN, IAN","CASTAÑER PECELLIN, RAFAEL",73,PENYA ARRABAL A,8
"OSUNA REINHARDT, HECTOR","GARCIA HERNANDEZ, JOSE RAMON",79,PENYA ARRABAL A,8
"AMELLER ENRICH, LLORENÇ","ESPINOZA ARMIJOS, CARLOS ANDRES",46,UD MAHON,8
"BOLIVAR PERAL, ROGER","SINTES MELERO, ALVARO",58,UD MAHON,8
"GRUBAC, NOA","DE OLIVEIRA MESSIAS, KLAYVER",58,UD MAHON,8
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",62,UD MAHON,8
"ELHADJ ABDOULAYE, BALDE","GOMEZ GORDILLO, RAUL",62,UD MAHON,8
"BURGAYA GENOVART, FERRAN","MOLINA DONAIRE, DANIEL",58,MALLORCA B,8
"LAZARO TORRES, MARIO","BIARNES MORENO, ALEJANDRO",58,MALLORCA B,8
"VERA SALINAS, ERIK","TEJADA LLADONET, ORIOL",67,MALLORCA B,8
"FRESNEDA HIDALGO, HUGO","D'VAZ AFONSO, SPENCER GARCIA",67,MALLORCA B,8
"BIBILONI ISERN, SEBASTIA","AVILÉS MAESTRE, JOEL",71,MALLORCA B,8
"AMASKOUT MANGAS, IMAD","LLAMAS MARTINEZ, ERIC",46,PENYA INDEPENDENT A,8
"LOPEZ MARI, PABLO","BERNHARDT, JOEL PIOTR",46,PENYA INDEPENDENT A,8
"ARORA, VIRAJ","PRATS RIPOLL, MIQUEL",65,PENYA INDEPENDENT A,8
"FERRER ROIG, JAUME","VIERA GONZALEZ, SANTIAGO",65,PENYA INDEPENDENT A,8
"FERRER TORRES, PEDRO","CREUHERAS GARCIA, MATHEO",75,PENYA INDEPENDENT A,8
"AMAYA MALENO, FRANCISCO","RODRIGUEZ MONGELOS, GAEL PAU",59,SD LA SALLE A,8
"SALMERON SEGURA, JONATHAN","ESCUERO PARDOS, MARTI",64,SD LA SALLE A,8
"MARTI RODRIGUEZ, IVAN","PUYA TUR, OSCAR",75,SD LA SALLE A,8
"JANER BOSCH, NOFRE","BOSCH PULIDO, NIL",52,FERRERIES A,8
"ROTGER LÓPEZ, LLUC","PULIDO COLL, IZAN",52,FERRERIES A,8
"CANTALAPIEDRA LOBATO, IKER","CAMPS CARETA, PERE",63,FERRERIES A,8
"BOSCH VALDERRABANO, TONI","DE LA PUERTA MARTORELL, JAUME",66,FERRERIES A,8
"AMENGUAL LIRIO, IVAN","GOMEZ BLANCA, AARON",45,SP. ATº CIUTAT DE PALMA,8
"SANS JIMENEZ, MIQUEL ANGEL","KRAUSSE, IGNACIO TOMAS",71,SP. ATº CIUTAT DE PALMA,8
"BLANCO VALERO, DAVID","CORTES MONTANER, LUIS",79,SP. ATº CIUTAT DE PALMA,8
"BARRY DIALLO, MAMADOU ALIOU","ABRAHAM BOLAÑOS, ISAAC",84,SP. ATº CIUTAT DE PALMA,8
"GOMEZ BARBOSA, RICARDO ADRIAN","PUJOL FONT, JAUME",84,SP. ATº CIUTAT DE PALMA,8
"SUÁREZ SERRA, ALEX","MASSANET CABRER, FRANCESC",37,SAN FRANCISCO B,8
"CARDONA ALCANTARA, MARC","GIRALDE BAUZA, JAVIER",45,SAN FRANCISCO B,8
"LLEDO SAMPOL, ADRIA","BADJINKA NDIAYE, BUBAKAR",60,SAN FRANCISCO B,8
"RIBAS MUÑOZ, SERGI","BORDOY LEAL, PEDRO",83,SAN FRANCISCO B,8
"SILVA SALINAS, ALEJANDRO","ANDEBUELA BARRIOS, PABLO",83,SAN FRANCISCO B,8
"LAKHAL ZEROUALE, SAAD","SOLER CALDENTEY, JOEL",60,MANACOR A,8
"MESTRE RIBOT, PAU","POSTIGO GARAT, RAUL",60,MANACOR A,8
"RODRIGUEZ GALDON, DANIEL","TRIAY PETHERAM, TOMAS ISMAEL",60,MANACOR A,8
"CORCHADO JIMENEZ, ISAAC","ADROVER GARRIDO, GERARD",67,MANACOR A,8
"NAVARRO BEZARES, JAVIER","COULIBALY COULIBALY, MADANE",70,PLA DE NA TESA A,8
"MESA ZAFRA, CHRISTIAN","MONTALBAN ROMERO, MILO JERONIMO",76,PLA DE NA TESA A,8
"CACERES COMAS, SERGI","ONCALA CARAVACA, DANIEL",76,PLA DE NA TESA A,8
"ASAMOAH ASANTEWAA, DENIS","MASCARÓ SERVERA, JUAN",76,PLA DE NA TESA A,8
"CAMPS SEOANE, VICTOR","LOPEZ GONZALEZ, ALEJANDRO",46,PENYA CIUTADELLA ESPORTIVA A,8
"PALLICER AGUILO, XAVIER","RUS FERNANDEZ, IGNASI",57,PENYA CIUTADELLA ESPORTIVA A,8
"TALTAVULL VALVERDE, IAN","TALTAVULL JUANEDA, JOAN",64,PENYA CIUTADELLA ESPORTIVA A,8
"ARGUIMBAU ALLES, MACIA","CAPO MORA, MARC",64,PENYA CIUTADELLA ESPORTIVA A,8
"FEDELICH MARQUES, JAN","AGUILAR BOSCH, DAVID",83,PENYA CIUTADELLA ESPORTIVA A,8
"HOLLINGSWORTH, HARRY RICHARD","ALCOLEA ESCORCIA, CARLOS",26,PLATGES DE CALVIA A,8
"PEREZ SILVENTE, ALEJANDRO","CASAUS SANCHEZ, JOSE IGNACIO",46,PLATGES DE CALVIA A,8
"PUJOL ALOMAR, TELM","SANCHIS MARTINEZ, DAVID",62,PLATGES DE CALVIA A,8
"GAYUBAS GONZALEZ, LUIS MIGUEL","PARRA VIZUETE, DANIEL",82,PLATGES DE CALVIA A,8
"CARDONA MARTIN, MARCOS","MATAS OLIVER, PABLO",82,PLATGES DE CALVIA A,8
"MORAGUES MORAGUES, JOAN","FERRER RIGO, SEBASTIÀ",58,POBLENSE A,8
"GONZÁLEZ ONETO, ASSIER","VIVES COMAS, JOAN JORDI",58,POBLENSE A,8
"JIMENA BELTRAN, CARLOS","CAIMARI FIGUEROLA, JAUME",70,POBLENSE A,8
"THIAM BORRAS, KARIM","RETTICH SOLER, JOSEP",92,POBLENSE A,8
"AGUILERA PERELLO, ADRIÀ","CHICA COMAS, JUAN A",92,POBLENSE A,8
"FOLGADO GARNICA, PAULO","NDIR GUEYE, MOUHAMADOUL LAMIN",65,PALMA F.C.,8
"PORCEL MARTINEZ, JORDI","SAMPOL MARTINEZ, MARC",77,PALMA F.C.,8
"BUENO BEDOLLA, BRIAN RYAN","FERRA OSPINA, CARLES JOAN",83,PALMA F.C.,8
"ROMERO ALASSIA, LUCAS T","PELLEGRINO, NICOLA EMANUELE",83,PALMA F.C.,8
"VICENS VIDAL, PAU","MORELL SACRISTÁN, CARLOS",83,PALMA F.C.,8
"PATRICIO TORRRENS, JUAN","JIMENEZ PASTOR, IKER",55,ANDRATX A,8
"SANCHEZ JIMENEZ, FERNANDO","TUR HORRACH, HUG",55,ANDRATX A,8
"RIBOT FUSTER, MARIO","AMER CASTILLO, MIGUEL",55,ANDRATX A,8
"DOBLAS TORRES, MIGUEL","VARGAS RODRIGUEZ, NICOLAS",62,ANDRATX A,8
"CASTELLO FERRA, JOAN","SINTES DIAZ, JOAN",70,ANDRATX A,8
"EZ ZARY SAIDI, ISMAEL","ALARCON RAGO, THIAGO",45,SANTA CATALINA ATº A,8
"SASTRE BOTA, JAUME","DEYÀ BELTRÁN, SEBASTIÀ",63,SANTA CATALINA ATº A,8
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",78,SANTA CATALINA ATº A,8
"HASHIMOTO SEBASTIÁN, GAIZKA","MENDOZA SOLER, MARIO",78,SANTA CATALINA ATº A,8
"GARCIAS LLABRES, MIQUEL","KOPACH, DANIIL",83,SANTA CATALINA ATº A,8
"VALLS ANIORTE, TARIKU","RODRIGUEZ ROIG, ARIAN",34,U D IBIZA A,8
"RODRIGUEZ MARTOS, AARON","MARTOS VERGARA, DANIEL",46,U D IBIZA A,8
"MARTINEZ BERNABEU, PEDRO","LOPEZ CAPACETE, KENAI",59,U D IBIZA A,8
"CUBERO GUASCH, JOAN","BERNASCONI, SANTINO",77,U D IBIZA A,8
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","SABATER SANCHO, MARC",46,CONSTANCIA A,8
"PATRICIO GUAL, MARC","FONTCUBERTA GALINDO, GABRIEL",56,CONSTANCIA A,8
"KOUJILI EL TALHAOUI, MAROUAN","OLIVER GELABERT, PERE",56,CONSTANCIA A,8
"BLANCO WEBER, LUCA","MARTIN MONSALVE, IAN",56,CONSTANCIA A,8
"CABEZAS GALLARDO, MANUEL","RIBAS ROSALIA, XAVIER",72,CONSTANCIA A,8
"ARBOS DENGRA, DIEGO","PETRARCA, ELIA",56,SD LA SALLE A,11
"PUYA TUR, OSCAR","ESCUERO PARDOS, MARTI",64,SD LA SALLE A,11
"AMAYA MALENO, FRANCISCO","VIVARES ARANDA, YANNICK",64,SD LA SALLE A,11
"RODRIGUEZ MONGELOS, GAEL PAU","FUSTER CORTES, FERNANDO",64,SD LA SALLE A,11
"SANCHEZ LAFUENTE, ARITZ","SALMERON SEGURA, JONATHAN",72,SD LA SALLE A,11
"CORCINO MUÑOZ, ANDRES","MARTINEZ BELA, JAVIER",56,MALLORCA B,11
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",56,MALLORCA B,11
"LAZARO TORRES, MARIO","MOLINA DONAIRE, DANIEL",72,MALLORCA B,11
"BURGAYA GENOVART, FERRAN","BIARNES MORENO, ALEJANDRO",72,MALLORCA B,11
"GARCIA LLOMPART, RAFEL","HORRACH LLABRES, GERARDO",81,MALLORCA B,11
"SINTES PONS, PAU","AMELLER RIUDAVETS, JOSEP",45,FERRERIES A,11
"MBAYE RUIZ, MOUHAMAD YASIN","BOSCH PULIDO, NIL",56,FERRERIES A,11
"CANTALAPIEDRA LOBATO, IKER","PULIDO COLL, IZAN",56,FERRERIES A,11
"CAMPS CARETA, PERE","FLORIT TAJUELO, HECTOR",77,FERRERIES A,11
"JANER BOSCH, NOFRE","PONS CARRERAS, ANGEL",77,FERRERIES A,11
"SANS JIMENEZ, MIQUEL ANGEL","BARRY DIALLO, MAMADOU ALIOU",60,SP. ATº CIUTAT DE PALMA,11
"CORTES MONTANER, LUIS","GOMEZ BLANCA, AARON",60,SP. ATº CIUTAT DE PALMA,11
"ABRAHAM BOLAÑOS, ISAAC","GAETE MARTINEZ, ISMAEL",60,SP. ATº CIUTAT DE PALMA,11
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",68,SP. ATº CIUTAT DE PALMA,11
"BLANCO VALERO, DAVID","KRZYZYK SERRANO, PEDRO",80,SP. ATº CIUTAT DE PALMA,11
"NDIR GUEYE, MOUHAMADOUL LAMIN","PORCEL MARTINEZ, JORDI",46,PALMA F.C.,11
"FRANCO SINGEORZAN, ALEX","MORELL SACRISTÁN, CARLOS",46,PALMA F.C.,11
"MARCANO FLORIAN, SEBASTIAN JESUS","VILLALONGA GÓMEZ, IKER",78,PALMA F.C.,11
"JIMENEZ JARAMILLO, KARLO ANDREU","SAMPOL MARTINEZ, MARC",78,PALMA F.C.,11
"ORTIZ CARROZA, ABRAHAM","ADROVER GARRIDO, GERARD",46,MANACOR A,11
"POSTIGO GARAT, RAUL","RODRIGUEZ GALDON, DANIEL",64,MANACOR A,11
"TRIAY PETHERAM, TOMAS ISMAEL","MESTRE RIBOT, PAU",64,MANACOR A,11
"SOLER CALDENTEY, JOEL","DIMITROV, DIMITAR DIMITROV",71,MANACOR A,11
"GRAHAM, NATHAN STUART","LAKHAL ZEROUALE, SAAD",90,MANACOR A,11
"LOPEZ FUXA, AARON","EZ ZARY SAIDI, ISMAEL",46,SANTA CATALINA ATº A,11
"VICH FORTEZA, LLUC","LOMAS SERVERA, PAU",46,SANTA CATALINA ATº A,11
"MASCARELL LLABRES, MARC","SASTRE BOTA, JAUME",63,SANTA CATALINA ATº A,11
"ALARCON RAGO, THIAGO","HASHIMOTO SEBASTIÁN, GAIZKA",63,SANTA CATALINA ATº A,11
"AOUATE OHANA, YARIN","MARTIN CABALLERO, ANGEL",87,SANTA CATALINA ATº A,11
"PASCUAL GORNES, ENRIC","JUANEDA JUANEDA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A,11
"TALTAVULL VALVERDE, IAN","ARGUIMBAU ALLES, MACIA",64,PENYA CIUTADELLA ESPORTIVA A,11
"AGUILAR BOSCH, DAVID","RUS FERNANDEZ, IGNASI",70,PENYA CIUTADELLA ESPORTIVA A,11
"FEDELICH MARQUES, JAN","TRIAY SASTRE, ADRIA",83,PENYA CIUTADELLA ESPORTIVA A,11
"CAPO MORA, MARC","DIAZ LLABRES, ISAAC",83,PENYA CIUTADELLA ESPORTIVA A,11
"MORENO PUJOL, JAVIER","LEBRERO BENITEZ, HUGO",60,PENYA ARRABAL A,11
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",60,PENYA ARRABAL A,11
"ARIAS BESTARD, ENZO","ROTTLANDER, LENNOX MARKUS",72,PENYA ARRABAL A,11
"PONS SERRANO, ALEIX","MUÑOZ BAIXAULI, JUAN",79,PENYA ARRABAL A,11
"AGUILERA PERELLO, ADRIÀ","VIVES COMAS, JOAN JORDI",63,POBLENSE A,11
"TUR ESCALAS, TONI","MORAGUES MORAGUES, JOAN",63,POBLENSE A,11
"JIMENA BELTRAN, CARLOS","GONZÁLEZ ONETO, ASSIER",63,POBLENSE A,11
"FERRER RIGO, SEBASTIÀ","CAIMARI FIGUEROLA, JAUME",78,POBLENSE A,11
"GIBSON, JASPER","DE LA CRUZ RIERA, JOAN MATEU",84,POBLENSE A,11
"BADJINKA NDIAYE, BUBAKAR","LUNEGRO, BRUNO",58,SAN FRANCISCO B,11
"LLEDO SAMPOL, ADRIA","TEJADA RODRIGUEZ, JOAN",58,SAN FRANCISCO B,11
"CLADERA SOBERATS, LLORENÇ","SALAMANCA GALERA, AITOR",78,SAN FRANCISCO B,11
"CONDE PEREIRA, ALEJANDRO MANUEL","RIBAS MUÑOZ, SERGI",78,SAN FRANCISCO B,11
"SILVA SALINAS, ALEJANDRO","BORDOY LEAL, PEDRO",81,SAN FRANCISCO B,11
"AVOGADRO, TOMMASO","MONTES DOMINGUEZ, ALBERTO",46,U D IBIZA A,11
"RODRIGUEZ ROIG, ARIAN","ELIAS ARANDIA, SAMUEL ABEL",60,U D IBIZA A,11
"GARCIA ALBA, JAVIER","TORRES RIERA, LLUC",60,U D IBIZA A,11
"PERIAÑEZ RODRIGUEZ, DANIEL","VALLS ANIORTE, TARIKU",65,U D IBIZA A,11
"CUBERO GUASCH, JOAN","BERNASCONI, SANTINO",88,U D IBIZA A,11
"DE OLIVEIRA MESSIAS, EMMANUEL","ELHADJ ABDOULAYE, BALDE",45,UD MAHON,11
"MASCARO MARTINEZ, IKER","DE OLIVEIRA MESSIAS, KLAYVER",59,UD MAHON,11
"AMELLER ENRICH, LLORENÇ","GRUBAC, NOA",71,UD MAHON,11
"DELICADO NIEWIAROWSKI, NICOLAS JAYDON","GOMEZ SANTOS, JUAN",71,UD MAHON,11
"BOLIVAR PERAL, ROGER","LOPEZ FERNANDEZ, MARC",72,UD MAHON,11
"MARTIN MONSALVE, IAN","OLIVER GELABERT, PERE",60,CONSTANCIA A,11
"BALLE BRUNET, JOAN","COLL AREVALO, JORDI",60,CONSTANCIA A,11
"FONTCUBERTA GALINDO, GABRIEL","GALVEZ ESPINOZA, BRAD ANTONY",75,CONSTANCIA A,11
"CABEZAS GALLARDO, MANUEL","BLANCO WEBER, LUCA",83,CONSTANCIA A,11
"RIBAS ROSALIA, XAVIER","COMPANY INGLA, JAUME",83,CONSTANCIA A,11
"ODERA PACILIO, SANTIAGO","CREUHERAS GARCIA, MATHEO",46,PENYA INDEPENDENT A,11
"FERRER ROIG, JAUME","LLAMAS MARTINEZ, ERIC",46,PENYA INDEPENDENT A,11
"BERNHARDT, JOEL PIOTR","AMASKOUT MANGAS, IMAD",57,PENYA INDEPENDENT A,11
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","LOPEZ MARI, PABLO",70,PENYA INDEPENDENT A,11
"GRANDA VILLAVICENCIO, DAVID JOAN","MARTINEZ JUAN, MARTIN",84,PENYA INDEPENDENT A,11
"DOBLAS TORRES, MIGUEL","ALMERING, BEPPE",60,ANDRATX A,11
"ALARCON FERRER, ADRIAN","JIMENEZ PASTOR, IKER",68,ANDRATX A,11
"VARGAS RODRIGUEZ, NICOLAS","SANCHEZ JIMENEZ, FERNANDO",68,ANDRATX A,11
"POLINTANG ANCHETA, GIANNE LARRY","CASTELLO FERRA, JOAN",78,ANDRATX A,11
"ASAMOAH ASANTEWAA, DENIS","MORA GISPERT, HUGO",62,PLA DE NA TESA A,11
"FERNÁNDEZ RODRÍGUEZ, IKER","COULIBALY COULIBALY, MADANE",62,PLA DE NA TESA A,11
"CACERES COMAS, SERGI","MASCARÓ SERVERA, JUAN",62,PLA DE NA TESA A,11
"HOMAR PELLICER, JOEL","MONTALBAN ROMERO, MILO JERONIMO",81,PLA DE NA TESA A,11
"SANCHIS MARTINEZ, DAVID","MAGAN MITCHELL SMITH, MIGUEL",68,PLATGES DE CALVIA A,11
"PUJOL ALOMAR, TELM","CASAUS SANCHEZ, JOSE IGNACIO",75,PLATGES DE CALVIA A,11
"PAYERO MOLINA, NICOLAS","PARRA VIZUETE, DANIEL",88,PLATGES DE CALVIA A,11
"COCA ANTELO, ANDREW","CORCINO MUÑOZ, ANDRES",46,MALLORCA B,12
"MOLINA DONAIRE, DANIEL","TEJADA LLADONET, ORIOL",66,MALLORCA B,12
"VAN DER MEER GARI, YANNICK","VERD ALONSO, ABEL",66,MALLORCA B,12
"VERA SALINAS, ERIK","BURGAYA GENOVART, FERRAN",81,MALLORCA B,12
"LAZARO TORRES, MARIO","MARTINEZ BELA, JAVIER",81,MALLORCA B,12
"DE OLIVEIRA MESSIAS, KLAYVER","ESPINOZA ARMIJOS, CARLOS ANDRES",56,UD MAHON,12
"DE OLIVEIRA MESSIAS, EMMANUEL","ELHADJ ABDOULAYE, BALDE",56,UD MAHON,12
"TEJEDOR MORENO, ALEJANDRO","DIALLO, FODE",69,UD MAHON,12
"MASCARO MARTINEZ, IKER","SINTES MELERO, ALVARO",69,UD MAHON,12
"BOLIVAR PERAL, ROGER","GRUBAC, NOA",86,UD MAHON,12
"KEITA SIDIBE, MADY","KRAUSSE, IGNACIO TOMAS",58,SP. ATº CIUTAT DE PALMA,12
"ABRAHAM BOLAÑOS, ISAAC","KRZYZYK SERRANO, PEDRO",58,SP. ATº CIUTAT DE PALMA,12
"FERNÁNDEZ CASSO, ALBERTO","GOMEZ BLANCA, AARON",80,SP. ATº CIUTAT DE PALMA,12
"AQUINO GUTIERREZ, DAN JOEL","SARMIENTO CABAÑIN, GABRIEL A",91,SP. ATº CIUTAT DE PALMA,12
"BLANCO VALERO, DAVID","MUNAR LAZARO, DANIEL",91,SP. ATº CIUTAT DE PALMA,12
"VALLESPIR TIMONER, PERE MARC","MUÑOZ BAIXAULI, JUAN",56,PENYA ARRABAL A,12
"ARIAS BESTARD, ENZO","SEGUI ESTEBAN, IAN",64,PENYA ARRABAL A,12
"LEBRERO BENITEZ, HUGO","VAZQUEZ SUAREZ, HUGO",64,PENYA ARRABAL A,12
"HERRERA IGLESIAS, ADRIAN","CASTAÑER PECELLIN, RAFAEL",64,PENYA ARRABAL A,12
"MORENO PUJOL, JAVIER","CRESPI BARRERA, LEONARDO",80,PENYA ARRABAL A,12
"TRIAY PETHERAM, TOMAS ISMAEL","ORTIZ CARROZA, ABRAHAM",63,MANACOR A,12
"ADROVER GARRIDO, ALBERT","MESTRE RIBOT, PAU",63,MANACOR A,12
"SOLER CALDENTEY, JOEL","POSTIGO GARAT, RAUL",73,MANACOR A,12
"BERNHARDT, JOEL PIOTR","GHARBI KHAMMAL EL BAKKALI, NASROLLAH",65,PENYA INDEPENDENT A,12
"LLAMAS MARTINEZ, ERIC","CREUHERAS GARCIA, MATHEO",67,PENYA INDEPENDENT A,12
"FERRER TORRES, PEDRO","FERRER ROIG, JAUME",89,PENYA INDEPENDENT A,12
"ARGUIMBAU ALLES, MACIA","LOPEZ GONZALEZ, ALEJANDRO",68,PENYA CIUTADELLA ESPORTIVA A,12
"AGUILAR BOSCH, DAVID","CAMPS SEOANE, VICTOR",80,PENYA CIUTADELLA ESPORTIVA A,12
"JUANEDA JUANEDA, JOSEP","CAPO MORA, MARC",80,PENYA CIUTADELLA ESPORTIVA A,12
"ALARCON CAVERO, JOEL","MASSANET CABRER, FRANCESC",46,SAN FRANCISCO B,12
"TEJADA RODRIGUEZ, JOAN","LOPEZ CABRERA, JESUS",46,SAN FRANCISCO B,12
"PADILLA BORRAS, PERE","BADJINKA NDIAYE, BUBAKAR",46,SAN FRANCISCO B,12
"LUNEGRO, BRUNO","SALAMANCA GALERA, AITOR",60,SAN FRANCISCO B,12
"RIBAS MUÑOZ, SERGI","TEJADA RODRIGUEZ, JOAN",76,SAN FRANCISCO B,12
"JIMENA BELTRAN, CARLOS","MORAGUES MORAGUES, JOAN",63,POBLENSE A,12
"THIAM BORRAS, KARIM","FERRER RIGO, SEBASTIÀ",63,POBLENSE A,12
"TUR ESCALAS, TONI","AGUILERA PERELLO, ADRIÀ",63,POBLENSE A,12
"VIVES COMAS, JOAN JORDI","CAIMARI FIGUEROLA, JAUME",83,POBLENSE A,12
"MENDEZ DUARTE, IVAN","RETTICH SOLER, JOSEP",90,POBLENSE A,12
"MOYA PEDREGOSA, ALEJANDRO","PANEQUE PÉREZ, JOEL",56,SD LA SALLE A,12
"AMAYA MALENO, FRANCISCO","ESCUERO PARDOS, MARTI",56,SD LA SALLE A,12
"PETRARCA, ELIA","RODRIGUEZ MONGELOS, GAEL PAU",56,SD LA SALLE A,12
"FERNANDEZ CABRERA, DAVID","SALMERON SEGURA, JONATHAN",63,SD LA SALLE A,12
"MARTI RODRIGUEZ, IVAN","VIVARES ARANDA, YANNICK",67,SD LA SALLE A,12
"RODRIGUEZ ROIG, ARIAN","GARCIA ALBA, JAVIER",43,U D IBIZA A,12
"TORRES RIERA, LLUC","MARTOS VERGARA, DANIEL",70,U D IBIZA A,12
"CUBERO GUASCH, JOAN","PERIAÑEZ RODRIGUEZ, DANIEL",70,U D IBIZA A,12
"GONZALEZ CASURIAGA, THIAGO","ELIAS ARANDIA, SAMUEL ABEL",80,U D IBIZA A,12
"MARTIN LOPEZ, IKER","GORLA, AGUSTIN",80,U D IBIZA A,12
"ROMERO ALASSIA, LUCAS T","SAMPOL MARTINEZ, MARC",59,PALMA F.C.,12
