Jornada,Minuto,jugador,Tipo de Gol
17,21,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
17,22,"AVILÉS MAESTRE, JOEL",Normal
17,45,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
17,75,"CORCINO MUÑOZ, ANDRES",Normal
17,79,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
17,89,"RODRIGUEZ ROIG, ARIAN",Normal
17,78,"HERRERA IGLESIAS, ADRIAN",Normal
17,34,"AIT SAID TAFZATI, NABIL",Normal
17,65,"MONTALBAN ROMERO, MILO JERONIMO",Normal
17,72,"ODERA PACILIO, SANTIAGO",Normal
17,93,"LLAMAS MARTINEZ, ERIC",Normal
17,4,"ALEGRIA DA SILVA, JOAO MIGUEL",Normal
17,71,"ORTIZ CARROZA, ABRAHAM",Normal
17,90,"RIERA MARTÍNEZ, FERRAN",Normal
17,25,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",Normal
17,29,"PONS CARRERAS, ANGEL",Normal
17,68,"MARTIN MONSALVE, IAN",Normal
17,81,"CRESPI LUCENA, JUAN MIQUEL",Normal
17,53,"SALAMANCA GALERA, AITOR",Normal
17,68,"SUÁREZ SERRA, ALEX",Normal
17,9,"RODRIGUEZ MONGELOS, GAEL PAU",Normal
17,11,"FERNANDEZ CABRERA, DAVID",Normal
17,52,"MORELL SACRISTÁN, CARLOS",Penalti
17,56,"GOMEZ ACUÑA, RENSON ENRIQUE",Normal
17,59,"FRANCO SINGEORZAN, ALEX",Normal
9,2,"D'VAZ AFONSO, SPENCER GARCIA",Normal
9,7,"COCA ANTELO, ANDREW",Normal
9,34,"GOMILA BOSCH, LLUÍS",Normal
9,53,"FEBRER VILLALONGA, ALBERT",Normal
9,68,"MARTINEZ BELA, JAVIER",Normal
9,73,"FLORES BARRERA, GERARD",Normal
9,75,"DE LA PUERTA MARTORELL, JAUME",Normal
9,89,"VERD ALONSO, ABEL",Normal
9,89,"PULIDO COLL, IZAN",Normal
9,47,"FRANCO SINGEORZAN, ALEX",Normal
9,55,"FRANCO SINGEORZAN, ALEX",Normal
9,76,"SANCHO OLIVER, PEDRO",Normal
9,5,"FUSTER LATORRE, DANIEL",Normal
9,73,"MARTIN CABALLERO, ANGEL",Normal
9,6,"PATRICIO GUAL, MARC",Normal
9,17,"BALLE BRUNET, JOAN",Normal
9,40,"MARTIN MONSALVE, IAN",Normal
9,53,"BALLE BRUNET, JOAN",Normal
9,1,"CORDOBA TUR, MARC",Normal
9,30,"CORDOBA TUR, MARC",Normal
9,28,"SUÁREZ SERRA, ALEX",Normal
9,78,"DOBLAS TORRES, MIGUEL",Normal
9,28,"BOLIVAR PERAL, ROGER",Normal
9,38,"MATAS OLIVER, PABLO",Normal
9,8,"VALLS ANIORTE, TARIKU",Normal
9,19,"ELIAS ARANDIA, SAMUEL ABEL",Normal
9,35,"MORA GISPERT, HUGO",Normal
9,60,"MONTALBAN ROMERO, MILO JERONIMO",Normal
9,65,"FERNÁNDEZ RODRÍGUEZ, IKER",Normal
9,83,"MASCARÓ SERVERA, JUAN",Normal
15,50,"RIERA MARTÍNEZ, FERRAN",Normal
15,85,"GIBSON, JASPER",Normal
15,1,"PETRARCA, ELIA",Normal
15,33,"VIVARES ARANDA, YANNICK",Normal
15,42,"RODRIGUEZ MONGELOS, GAEL PAU",Penalti
15,70,"FUSTER CORTES, FERNANDO",Normal
15,78,"MARTI RODRIGUEZ, IVAN",Normal
15,42,"GOMILA BOSCH, LLUÍS",Normal
15,54,"FEBRER VILLALONGA, ALBERT",Penalti
15,57,"PONS MOLL, FRANCESC",Penalti
15,85,"FEBRER VILLALONGA, ALBERT",Normal
15,89,"DIAZ LLABRES, ISAAC",Normal
15,20,"COLL AREVALO, JORDI",Normal
15,43,"COLL AREVALO, JORDI",Normal
15,86,"GIL GOMILA, XAYRON",Normal
15,38,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
15,61,"CORCINO MUÑOZ, ANDRES",Normal
15,29,"FERRER TORRES, PEDRO",Normal
15,73,"BERNHARDT, JOEL PIOTR",Normal
15,79,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
15,7,"FERNANDEZ REY, RAUL",Normal
15,16,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
15,26,"GOMEZ SANTOS, JUAN",Normal
15,53,"TEJEDOR MORENO, ALEJANDRO",Normal
15,73,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
15,42,"MAS MAIMO, JOSEP",Normal
15,62,"GONZALEZ OBRADOR, ENRIC",Normal
15,76,"GONZALEZ OBRADOR, ENRIC",Normal
18,3,"SUÁREZ SERRA, ALEX",Normal
18,38,"LEDESMA COR, MATEU",Normal
18,58,"BADJINKA NDIAYE, BUBAKAR",Normal
18,29,"DE LA PUERTA MARTORELL, JAUME",Normal
18,79,"FEBRER VILLALONGA, ALBERT",Normal
18,88,"MASCARÓ SERVERA, JUAN",Normal
18,41,"DEYÀ BELTRÁN, SEBASTIÀ",Normal
18,84,"CORDOBA TUR, MARC",Penalti
18,23,"PUGLIESE, PAOLO ALBERTO",Normal
