jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
2,"MALLORCA ""B""","PLATGES DE CALVIA ""A""",670529.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670529&cod_acta=670529,Si
2,"POBLENSE ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670530.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670530&cod_acta=670530,Si
2,SP. ATº CIUTAT DE PALMA,"U D IBIZA ""A""",670531.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670531&cod_acta=670531,Si
2,"MANACOR ""A""","ANDRATX ""A""",670685.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670685&cod_acta=670685,Si
20,"PENYA INDEPENDENT ""A""",PALMA F.C.,670686.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670686&cod_acta=670686,Si
20,"FERRERIES ""A""","SAN FRANCISCO ""B""",670687.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670687&cod_acta=670687,Si
20,"PENYA ARRABAL ""A""","SANTA CATALINA ATº ""A""",670688.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670688&cod_acta=670688,Si
20,"SD LA SALLE ""A""","PLA DE NA TESA ""A""",670689.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670689&cod_acta=670689,Si
20,"MALLORCA ""B""","CONSTANCIA ""A""",670690.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670690&cod_acta=670690,Si
20,"POBLENSE ""A""","PLATGES DE CALVIA ""A""",670691.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670691&cod_acta=670691,Si
20,SP. ATº CIUTAT DE PALMA,"PENYA CIUTADELLA ESPORTIVA ""A""",670692.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670692&cod_acta=670692,Si
