cod_temporada,cod_competicion,cod_grupo,jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
20,7077248,7077249,11,UD MAHON,"CONSTANCIA ""A""",670613.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670613&cod_acta=670613,Si
20,7077248,7077249,12,"MALLORCA ""B""",UD MAHON,670614.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670614&cod_acta=670614,Si
20,7077248,7077249,12,"POBLENSE ""A""","SD LA SALLE ""A""",670615.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670615&cod_acta=670615,Si
20,7077248,7077249,12,SP. ATº CIUTAT DE PALMA,"PENYA ARRABAL ""A""",670616.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670616&cod_acta=670616,Si
20,7077248,7077249,12,"ANDRATX ""A""","FERRERIES ""A""",670617.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670617&cod_acta=670617,Si
20,7077248,7077249,12,"MANACOR ""A""","PENYA INDEPENDENT ""A""",670618.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670618&cod_acta=670618,Si
20,7077248,7077249,12,"U D IBIZA ""A""",PALMA F.C.,670619.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670619&cod_acta=670619,Si
20,7077248,7077249,12,"PENYA CIUTADELLA ESPORTIVA ""A""","SAN FRANCISCO ""B""",670620.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670620&cod_acta=670620,Si
20,7077248,7077249,12,"PLATGES DE CALVIA ""A""","SANTA CATALINA ATº ""A""",670621.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670621&cod_acta=670621,Si
20,7077248,7077249,12,"CONSTANCIA ""A""","PLA DE NA TESA ""A""",670622.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670622&cod_acta=670622,Si
20,7077248,7077249,13,"MALLORCA ""B""","POBLENSE ""A""",670623.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670623&cod_acta=670623,Si
20,7077248,7077249,13,"SD LA SALLE ""A""",SP. ATº CIUTAT DE PALMA,670624.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670624&cod_acta=670624,Si
20,7077248,7077249,13,"PENYA ARRABAL ""A""","ANDRATX ""A""",670625.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670625&cod_acta=670625,Si
20,7077248,7077249,13,"FERRERIES ""A""","MANACOR ""A""",670626.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670626&cod_acta=670626,Si
20,7077248,7077249,13,"PENYA INDEPENDENT ""A""","U D IBIZA ""A""",670627.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670627&cod_acta=670627,Si
20,7077248,7077249,13,PALMA F.C.,"PENYA CIUTADELLA ESPORTIVA ""A""",670628.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670628&cod_acta=670628,Si
20,7077248,7077249,13,"SAN FRANCISCO ""B""","PLATGES DE CALVIA ""A""",670629.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670629&cod_acta=670629,Si
